"Offset","Position","Title","Identifier","Array","Access","Type","Reset Value","Reset Mask","Description","Documentation Source","Group","Is Implemented?","RISCV Privilege Level"
,"[63:0]","Supervisor status register","sstatus","","R/W","configuration","0",,"The sstatus register is an SXLEN-bit read/write register keeps track of the processor’s current operating state. This register is encoded as follows. All values not shown are reserved.
63: SD.
33:32: UXL. The UXL field controls the value of XLEN for U-mode, termed UXLEN, which may differ from the value of XLEN for S-mode, termed SXLEN. The encoding of UXL is the same as that of the MXL field of the misa register. See the misa register for more information.
19: MXR. The MXR (Make eXecutable Readable) bit modifies the privilege with which loads access virtual memory. When MXR = 0, only loads from pages marked readable will succeed. When MXR = 1, loads from pages marked either readable or executable (R = 1 or X = 1) will succeed. MXR has no effect when page-based virtual memory is not in effect.
18: SUM. The SUM (Supervisor User Memory) access bit modifies the privilege with which S-mode loads and stores access virtual memory. When SUM = 0, S-mode memory accesses to pages that are accessible by U-mode will fault. When SUM = 1, these accesses are permitted. SUM has no effect when page-based virtual memory is not in effect, nor when executing in U-mode.
16:15: XS[1:0]. The XS field represents a summary of all extensions’ status and is encoded the same as FS[1:0] in bits 14:13.
14:13: FS[1:0]. The FS field encodes the status of the floating-point unit and it encoded as follows: 00: OFF. 01: INITIAL (none dirty or clean, some on. 10: CLEAN. None dirty, some clean. 11: DIRTY, some dirty.
8: SPP. The SPP bit indicates the privilege level at which a hart was executing before entering supervisor mode.
5: SPIE. The SPIE bit indicates whether supervisor-level interrupts were enabled prior to taking a supervisor-level trap.
4: UPIE. The UPIE bit indicates whether user-level interrupts were enabled prior to taking a user-level trap.
1: SIE. The SIE bit enables or disables all interrupts in supervisor mode. When SIE is clear, interrupts are not taken while in supervisor mode.
0: UIE. The UIE bit enables or disables all interrupts in user mode. When SIE is clear, interrupts are not taken while in user mode. ","RISC-V spec, volume II, Section 4.1.1.","SupervisorTrapHandling",,"supervisor"
"0x102",,"Supervisor exception delegation register","sedeleg","","R/W","register","0","0xffffffffffffffff","This register is not used.",,"SupervisorTrapHandling","0","supervisor"
,"[63:0]","Supervisor exception delegation register","sedeleg","","R/W","configuration","0",,"This register is not used.",,"SupervisorTrapHandling","0","supervisor"
"0x103",,"Supervisor interrupt delegation register","sideleg","","R/W","register","0","0xffffffffffffffff","This register is not used.",,"SupervisorTrapHandling","0","supervisor"
,"[63:0]","Supervisor interrupt delegation register","sideleg","","R/W","configuration","0",,"This register is not used.",,"SupervisorTrapHandling","0","supervisor"
"0x104",,"Supervisor interrupt-enable register","sie","","R/W","register","0","0xffffffffffffffff","Supervisor interrupt enable register. This register is encoded as follows.
Bit 9: SEIE. Supervisor external interrupt enable.
Bit 8: UEIE. Machine external interrupt enable.
Bit 5: STIE. Supervisor timer interrupt enable.
Bit 4: UTIE. User timer interrupt enable.
Bit 1: SSIE. Supervisor software interrupt enable.
Bit 0: USIE. User software interrupt enable.",,"SupervisorTrapHandling",,"supervisor"
,"[63:0]","Supervisor interrupt-enable register","sie","","R/W","configuration","0",,"Supervisor interrupt enable register. This register is encoded as follows.
Bit 9: SEIE. Supervisor external interrupt enable.
Bit 8: UEIE. Machine external interrupt enable.
Bit 5: STIE. Supervisor timer interrupt enable.
Bit 4: UTIE. User timer interrupt enable.
Bit 1: SSIE. Supervisor software interrupt enable.
Bit 0: USIE. User software interrupt enable.",,"SupervisorTrapHandling",,"supervisor"
"0x105",,"Supervisor trap handler base address","stvec","","R/W","register","0","0xffffffffffffffff","The stvec register stores the trap vector configuration, consisting of a vector base address (BASE) and a vector mode (MODE). Bits 64:2 store the BASE address, and bits 1:0 store the MODE. Two modes are supported, meaning that the MODE field is encoded as follows:
MODE = 00: Direct. All exceptions set the PC to BASE.
MODE = 01: Vectored. Asynchronout interrupts set PC to (BASE + 4 x Cause)",,"SupervisorTrapHandling",,"supervisor"
,"[63:0]","Supervisor trap handler base address","stvec","","R/W","configuration","0",,"The stvec register stores the trap vector configuration, consisting of a vector base address (BASE) and a vector mode (MODE). Bits 64:2 store the BASE address, and bits 1:0 store the MODE. Two modes are supported, meaning that the MODE field is encoded as follows:
MODE = 00: Direct. All exceptions set the PC to BASE.
MODE = 01: Vectored. Asynchronout interrupts set PC to (BASE + 4 x Cause)",,"SupervisorTrapHandling",,"supervisor"
"0x106",,"Supervisor counter enable","scounteren","","R/W","register","0","0xffffffffffffffff","",,"SupervisorTrapHandling",,"supervisor"
,"[8:0]","Supervisor counter enable","scounteren","","R/W","configuration","0",,"This register stores the enable bits for each one of the counters in supervisor mode. These bits control the availability of the hardware performance-monitoring counters to the next-lowest privilege mode.  This means that U-mode and S-mode cannot access hpmcounter9 - hpmcounter31. Attempting to access these CSR's in U-mode or S-mode results in an illegal instruction exception. These bits are encoded as follows:
0: CY. Setting this bit enables the cycle counter.
1: TM. Setting this bit enables the time counter.
2: IR. Setting this bit enables the instruction retire counter.
7:3: HPM 3 - 7.  These bits enable hpmcounter 0 through hpmcounter 4.
31:8: Reserved.",,"SupervisorTrapHandling",,
"0x140",,"Scratch register for supervisor trap handlers","sscratch","","R/W","register","",,"The sscratch register is an SXLEN-bit read/write register, dedicated for use by the supervisor.
Typically, sscratch is used to hold a pointer to the hart-local supervisor context while the hart is
executing user code. At the beginning of a trap handler, sscratch is swapped with a user register
to provide an initial working register.",,"SupervisorTrapSetup",,"supervisor"
,"[63:0]","Scratch register for supervisor trap handlers","sscratch","","R/W","configuration","",,"The sscratch register is an SXLEN-bit read/write register, dedicated for use by the supervisor.
Typically, sscratch is used to hold a pointer to the hart-local supervisor context while the hart is
executing user code. At the beginning of a trap handler, sscratch is swapped with a user register
to provide an initial working register.",,"SupervisorTrapSetup",,"supervisor"
"0x141",,"Supervisor exception program counter","sepc","","R/W","register","",,"The sepc register is an MXLEN-bit read/write register. The low-order bit of sepc (sepc[0]) is always zero. On implementations that support only IALIGN = 32, the two low bits (mepc[1:0]) are always zero.",,"SupervisorTrapSetup",,"supervisor"
,"[63:0]","Supervisor exception program counter","sepc","","R/W","configuration","",,"The sepc register is an MXLEN-bit read/write register. The low-order bit of sepc (sepc[0]) is always zero. On implementations that support only IALIGN = 32, the two low bits (mepc[1:0]) are always zero.",,"SupervisorTrapSetup",,"supervisor"
"0x142",,"Supervisor trap cause","scause","","R/W","register","",,"The scause register is an MXLEN-bit read-write register. When a trap is taken into S-mode, scause is written with a code indicating the event that caused the trap. Otherwise, scause is never written by the implementation, though it may be explicitly written by software. In this register, the uppermost bit is the INTERRUPT bit. The remaining bits are the EXCEPTION CODE. The encoding of the EXCEPTION CODE field depends on the state of the INTERRUPT bit. For more information, refer to Table 4.2 in the RISC-V spec, Volume II.","RISC-V spec, volume II, Section 4.1.10.","SupervisorTrapSetup",,"supervisor"
,"[63:0]","Supervisor trap cause","scause","","R/W","configuration","",,"The scause register is an MXLEN-bit read-write register. When a trap is taken into S-mode, scause is written with a code indicating the event that caused the trap. Otherwise, scause is never written by the implementation, though it may be explicitly written by software. In this register, the uppermost bit is the INTERRUPT bit. The remaining bits are the EXCEPTION CODE. The encoding of the EXCEPTION CODE field depends on the state of the INTERRUPT bit. For more information, refer to Table 4.2 in the RISC-V spec, Volume II.","RISC-V spec, volume II, Section 4.1.10.","SupervisorTrapSetup",,"supervisor"
"0x143",,"Supervisor bad address or instruction","stval","","R/W","register","",,"The stval register is an SXLEN-bit read-write register. When a trap is taken into S-mode, stval is written with exception-specific information to assist software in handling the trap.","RISC-V spec, volume II, Section 4.1.11.","SupervisorTrapSetup",,"supervisor"
,"[63:0]","Supervisor bad address or instruction","stval","","R/W","configuration","",,"The stval register is an SXLEN-bit read-write register. When a trap is taken into S-mode, stval is written with exception-specific information to assist software in handling the trap.","RISC-V spec, volume II, Section 4.1.11.","SupervisorTrapSetup",,"supervisor"
"0x144",,"Supervisor interrupt pending","sip","","R/W","register","",,"Supervisor mode interrupt pending register. This register is encoded as follows.
Bit 9: SEIP. Supervisor external interrupt pending.
Bit 8: UEIP. Machine external interrupt pending.
Bit 5: STIP. Supervisor timer interrupt pending.
Bit 4: UTIP. User timer interrupt pending.
Bit 1: SSIP. Supervisor software interrupt pending.
Bit 0: USIP. User software interrupt pending.",,"SupervisorTrapSetup",,"supervisor"
,"[63:0]","Supervisor interrupt pending","sip","","R/W","configuration","",,"Supervisor mode interrupt pending register. This register is encoded as follows.
Bit 9: SEIP. Supervisor external interrupt pending.
Bit 8: UEIP. Machine external interrupt pending.
Bit 5: STIP. Supervisor timer interrupt pending.
Bit 4: UTIP. User timer interrupt pending.
Bit 1: SSIP. Supervisor software interrupt pending.
Bit 0: USIP. User software interrupt pending.",,"SupervisorTrapSetup",,"supervisor"
"0x180",,"Supervisor address translation and protection","satp","","R/W","register","0","0xffffffffffffffff","The Supervisor Address Translation and Protection (SATP) register is a 64-bit read/write register that controls S-mode address translation and protection. There is a single SATP register shared among the two harts of the processor. The bit assignments for this register are as follows:
63:60, MODE. This 4-bit field selects the address translation schement and is encoded as follows. When MODE = Bare, M-mode virtual addresses are equal to M-mode physical addresses, and there is no additional memory protection. In this case, the remaining fields in MATP have no effect. All values not shown are reserved.
0000: No address translation or protection.
1000: Page-based 39-bit virtual addressing.
1001: Page-based 48-bit virtual addressing.

59:44 ASID. The address space identifier (ASID) facilitates address-translation fences on a per-address-space basis. 
43:0 PPN. Physical page number. This field stores the physical page number (PPN) of the root page table, i.e., its physical address divided by 4KiB.",,"SupervisorProtectionTranslation",,"supervisor"
,"[63:0]","Supervisor address translation and protection","satp","","R/W","configuration","0",,"The Supervisor Address Translation and Protection (SATP) register is a 64-bit read/write register that controls S-mode address translation and protection. There is a single SATP register shared among the two harts of the processor. The bit assignments for this register are as follows:
63:60, MODE. This 4-bit field selects the address translation schement and is encoded as follows. When MODE = Bare, M-mode virtual addresses are equal to M-mode physical addresses, and there is no additional memory protection. In this case, the remaining fields in MATP have no effect. All values not shown are reserved.
0000: No address translation or protection.
1000: Page-based 39-bit virtual addressing.
1001: Page-based 48-bit virtual addressing.

59:44 ASID. The address space identifier (ASID) facilitates address-translation fences on a per-address-space basis. 
43:0 PPN. Physical page number. This field stores the physical page number (PPN) of the root page table, i.e., its physical address divided by 4KiB.",,"SupervisorProtectionTranslation",,"supervisor"
"0x300",,"Machine status register","mstatus","","R/W","register","",,"The mstatus register is an MXLEN-bit read/write register that keeps track of and controls the hart’s current operating state. Restricted views of the mstatus register appear as the sstatus and ustatus registers in the S-level and U-level ISAs respectively. For more information, refer to Section 3.1.6 of the RISC-V Privileged Architecture Specification, Volume II.",,"MachineTrapSetup",,"machine"
,"[63:0]","Machine status register","mstatus","","R/W","configuration","",,"The mstatus register is an MXLEN-bit read/write register that keeps track of and controls the hart’s current operating state. Restricted views of the mstatus register appear as the sstatus and ustatus registers in the S-level and U-level ISAs respectively. For more information, refer to Section 3.1.6 of the RISC-V Privileged Architecture Specification, Volume II.",,"MachineTrapSetup",,"machine"
"0x301",,"ISA and extensions","misa","","R/W","register","0x8000000000941124","0xffffffffffffffff","The misa CSR is a WARL read-write register reporting the ISA supported by the hart. This register is encoded as follows:
63:62 - MXL[1:0]. A value of 10 in this bit indicates a 64-bit register width. Other values are 01 (32-bit) and 11 (128-bit).
61:26 - WLRL. Write legal and read legal values.
25:0 - EXTENSION. The Extensions field encodes the presence of the standard extensions, with a single bit per letter of the alphabet (bit 0 encodes presence of extension “A” , bit 1 encodes presence of extension “B”, through to bit 25 which encodes “Z”). For the definition of each letter, refer to Table 3-2 of the RISC-V Privileged Architecture Specification, Volume II.",,"MachineTrapSetup",,"machine"
,"[63:0]","ISA and extensions","misa","","R/W","configuration","0x8000000000941124",,"The misa CSR is a WARL read-write register reporting the ISA supported by the hart. This register is encoded as follows:
63:62 - MXL[1:0]. A value of 10 in this bit indicates a 64-bit register width. Other values are 01 (32-bit) and 11 (128-bit).
61:26 - WLRL. Write legal and read legal values.
25:0 - EXTENSION. The Extensions field encodes the presence of the standard extensions, with a single bit per letter of the alphabet (bit 0 encodes presence of extension “A” , bit 1 encodes presence of extension “B”, through to bit 25 which encodes “Z”). For the definition of each letter, refer to Table 3-2 of the RISC-V Privileged Architecture Specification, Volume II.",,"MachineTrapSetup",,"machine"
"0x302",,"Machine exception delegation register","medeleg","","R/W","register","",,"By default, all traps at any privilege level are handled in machine mode, though a machine-mode handler can redirect traps back to the appropriate level with the MRET instruction. To increase performance, implementations can provide individual read/write bits within medeleg and mideleg to indicate that certain exceptions and interrupts should be processed directly by a lower privilege level. The machine exception delegation register (medeleg) and machine interrupt delegation register (mideleg) are MXLEN-bit read/write registers.

In systems with all three privilege modes (M/S/U), setting a bit in medeleg or mideleg will delegate the corresponding trap in S-mode or U-mode to the S-mode trap handler. If U-mode traps are supported, S-mode may in turn set corresponding bits in the sedeleg and sideleg registers to delegate traps that occur in U-mode to the U-mode trap handler. In systems with S-mode, the medeleg and mideleg registers must exist, whereas the sedeleg and sideleg registers should only exist if the N extension for user-mode interrupts is also implemented. For an encoding of this register, refer to Table 3-6 of the RISC-V specification, volume II.","Section 3.1.8, RISC-V Volume II","MachineTrapSetup",,"machine"
,"[63:0]","Machine exception delegation register","medeleg","","R/W","configuration","",,"By default, all traps at any privilege level are handled in machine mode, though a machine-mode handler can redirect traps back to the appropriate level with the MRET instruction. To increase performance, implementations can provide individual read/write bits within medeleg and mideleg to indicate that certain exceptions and interrupts should be processed directly by a lower privilege level. The machine exception delegation register (medeleg) and machine interrupt delegation register (mideleg) are MXLEN-bit read/write registers.

In systems with all three privilege modes (M/S/U), setting a bit in medeleg or mideleg will delegate the corresponding trap in S-mode or U-mode to the S-mode trap handler. If U-mode traps are supported, S-mode may in turn set corresponding bits in the sedeleg and sideleg registers to delegate traps that occur in U-mode to the U-mode trap handler. In systems with S-mode, the medeleg and mideleg registers must exist, whereas the sedeleg and sideleg registers should only exist if the N extension for user-mode interrupts is also implemented. For an encoding of this register, refer to Table 3-6 of the RISC-V specification, volume II.","Section 3.1.8, RISC-V Volume II","MachineTrapSetup",,"machine"
"0x303",,"Machine interrupt delegation register","mideleg","","R/W","register","",,"This register is organized like the medeleg register. See medeleg description above.","Section 3.1.8, RISC-V Volume II","MachineTrapSetup",,"machine"
,"[63:0]","Machine interrupt delegation register","mideleg","","R/W","configuration","",,"This register is organized like the medeleg register. See medeleg description above.","Section 3.1.8, RISC-V Volume II","MachineTrapSetup",,"machine"
"0x304",,"Machine interrupt-enable register","mie","","R/W","register","",,"Interrupt enable register. This register is encoded as follows.
Bit 11: MEIE. Machine external interrupt enable.
Bit 9: SEIE. Supervisor external interrupt enable.
Bit 8: UEIE. Machine external interrupt enable.
Bit 7: MTIE. Machine timer interrupt enable.
Bit 5: STIE. Supervisor timer interrupt enable.
Bit 4: UTIE. User timer interrupt enable.
Bit 3: MSIE. Machine software interrupt enable.
Bit 1: SSIE. Supervisor software interrupt enable.
Bit 0: USIE. User software interrupt enable.","Section 3.1.9, RISC-V Volume II","MachineTrapSetup",,"machine"
,"[63:0]","Machine interrupt-enable register","mie","","R/W","configuration","",,"Interrupt enable register. This register is encoded as follows.
Bit 11: MEIE. Machine external interrupt enable.
Bit 9: SEIE. Supervisor external interrupt enable.
Bit 8: UEIE. Machine external interrupt enable.
Bit 7: MTIE. Machine timer interrupt enable.
Bit 5: STIE. Supervisor timer interrupt enable.
Bit 4: UTIE. User timer interrupt enable.
Bit 3: MSIE. Machine software interrupt enable.
Bit 1: SSIE. Supervisor software interrupt enable.
Bit 0: USIE. User software interrupt enable.","Section 3.1.9, RISC-V Volume II","MachineTrapSetup",,"machine"
"0x305",,"Machine trap-handler base address","mtvec","","R/W","register","",,"The mtvec register stores the trap vector configuration, consisting of a vector base address (BASE) and a vector mode (MODE). Bits 64:2 store the BASE address, and bits 1:0 store the MODE. Two modes are supported, meaning that the MODE field is encoded as follows:
MODE = 00: Direct. All exceptions set the PC to BASE.
MODE = 01: Vectored. Asynchronout interrupts set PC to (BASE + 4 x Cause)","Section 3.1.7, RISC-V Volume II","MachineTrapSetup",,"machine"
,"[63:0]","Machine trap-handler base address","mtvec","","R/W","configuration","",,"The mtvec register stores the trap vector configuration, consisting of a vector base address (BASE) and a vector mode (MODE). Bits 64:2 store the BASE address, and bits 1:0 store the MODE. Two modes are supported, meaning that the MODE field is encoded as follows:
MODE = 00: Direct. All exceptions set the PC to BASE.
MODE = 01: Vectored. Asynchronout interrupts set PC to (BASE + 4 x Cause)","Section 3.1.7, RISC-V Volume II","MachineTrapSetup",,"machine"
"0x306",,"Machine counter enable","mcounteren","","R/W","register","0x0000000000000000","0xfffffffffffffe00","",,"MachineTrapSetup",,"machine"
,"[8:0]","Machine counter enable","mcounteren","","R/W","configuration","",,"This register stores the enable bits for each one of the counters. These bits control the availability of the hardware performance-monitoring counters to the next-lowest privileged mode.  This means that U-mode and S-mode cannot access hpmcounter9 - hpmcounter31. Attempting to access these CSR's in U-mode or S-mode results in an illegal instruction exception. These bits are encoded as follows:
0: CY. Setting this bit enables the cycle counter.
1: TM. Setting this bit enables the time counter.
2: IR. Setting this bit enables the instruction retire counter.
7:3: HPM 3 - 7.  These bits enable hpmcounter 0 through hpmcounter 4.
31:8: Reserved.","Section 3.1.12, RISC-V Spec Volume II",,,"machine"
"0x323",,"Machine performance-monitoring event selector for Core","mhpmevent3","","R/W","register","",,"Counters 3 to 6 can be used for minion events. The counters are differentiated per thread, so in total there are 8 physical counters, 4 per thread. Each of them can be programmed with the following events:
0: No count                  6: DCACHE_ACCESS0        12: L2_EVICT_REQ            18: TFMA_WAIT_TENB         24: TFMA_INST        
1: MCYCLE                     7: DCACHE_ACCESS1        13: L2_EVICT_REQ_REJ   19: TIMA_OPS                         25: TFMA_OPS         
2: RETIRED_INST0      8: DCACHE_MISSES0         14:  TL_INST                        20: TXFMA_OPS16        
3: RETIRED_INST1      9: DCACHE_MISSES1         15:  TL_OPS                         21: TXFMA_OPS32      
4: BRANCHES0          10: L2_MISS_REQ                  16: TS_INST                        22: TRANS_OPS         
5: BRANCHES1          11: L2_MISS_REQ_REJ         17: TS_OPS                         23: SHORT_OPS        ",,"MachineCounterSetup",,"machine"
,"[63:0]","Machine performance-monitoring event selector for Core","mhpmevent3","","R/W","configuration","",,"Counters 3 to 6 can be used for minion events. The counters are differentiated per thread, so in total there are 8 physical counters, 4 per thread. Each of them can be programmed with the following events:
0: No count                  6: DCACHE_ACCESS0        12: L2_EVICT_REQ            18: TFMA_WAIT_TENB         24: TFMA_INST        
1: MCYCLE                     7: DCACHE_ACCESS1        13: L2_EVICT_REQ_REJ   19: TIMA_OPS                         25: TFMA_OPS         
2: RETIRED_INST0      8: DCACHE_MISSES0         14:  TL_INST                        20: TXFMA_OPS16        
3: RETIRED_INST1      9: DCACHE_MISSES1         15:  TL_OPS                         21: TXFMA_OPS32      
4: BRANCHES0          10: L2_MISS_REQ                  16: TS_INST                        22: TRANS_OPS         
5: BRANCHES1          11: L2_MISS_REQ_REJ         17: TS_OPS                         23: SHORT_OPS        ",,"MachineCounterSetup",,"machine"
"0x324",,"Machine performance-monitoring event selector for Core","mhpmevent4","","R/W","register","",,"",,"MachineCounterSetup",,"machine"
,"[63:0]","Machine performance-monitoring event selector for Core","mhpmevent4","","R/W","configuration","",,"",,"MachineCounterSetup",,"machine"
"0x325",,"Machine performance-monitoring event selector for Core","mhpmevent5","","R/W","register","",,"",,"MachineCounterSetup",,"machine"
,"[63:0]","Machine performance-monitoring event selector for Core","mhpmevent5","","R/W","configuration","",,"",,"MachineCounterSetup",,"machine"
"0x326",,"Machine performance-monitoring event selector for Core","mhpmevent6","","R/W","register","",,"",,"MachineCounterSetup",,"machine"
,"[63:0]","Machine performance-monitoring event selector for Core","mhpmevent6","","R/W","configuration","",,"",,"MachineCounterSetup",,"machine"
"0x327",,"Machine performance-monitoring event selector for Neigh","mhpmevent7","","R/W","register","",,"Counters 7 and 8 can be used for neighborhood events. These are differentiated per thread, so in total there are 4 physical counters. The events that can be selected are: 
0: NOCOUNT 
1 - 7: TBD",,"MachineCounterSetup",,"machine"
,"[63:0]","Machine performance-monitoring event selector for Neigh","mhpmevent7","","R/W","configuration","",,"Counters 7 and 8 can be used for neighborhood events. These are differentiated per thread, so in total there are 4 physical counters. The events that can be selected are: 
0: NOCOUNT 
1 - 7: TBD",,"MachineCounterSetup",,"machine"
"0x328",,"Machine performance-monitoring event selector for Neigh","mhpmevent8","","R/W","register","",,"",,"MachineCounterSetup",,"machine"
,"[63:0]","Machine performance-monitoring event selector for Neigh","mhpmevent8","","R/W","configuration","",,"",,"MachineCounterSetup",,"machine"
"0x329",,"Machine performance-monitoring event selector","mhpmevent9","","R/W","register","",,"This register is not implemented.",,"MachineCounterSetup","0","machine"
